finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,notes
Fulica americana,Metazoa,Aves,Gruiformes,Rallidae,Fulica,Fulica americana,0.63674,EltonTraits,NA
Gallus gallus,Metazoa,Aves,Galliformes,Phasianidae,Gallus,Gallus gallus,0.75172,EltonTraits,NA
Geomys breviceps,Metazoa,Mammalia,Rodentia,Geomyidae,Geomys,Geomys breviceps,0.13647,EltonTraits,NA
Geomys pinetis,Metazoa,Mammalia,Rodentia,Geomyidae,Geomys,Geomys pinetis,0.085,EltonTraits,NA
Glaucomys sabrinus,Metazoa,Mammalia,Rodentia,Sciuridae,Glaucomys,Glaucomys sabrinus,0.14884,Tamburello_etal_2015,NA
Gopherus agassizii,Metazoa,NA,Testudines,Testudinidae,Gopherus,Gopherus agassizii,2,Tamburello_etal,NA
Halichoerus grypus,Metazoa,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus grypus,157.667,EltonTraits,NA
Heloderma suspectum,Metazoa,Lepidosauria,Squamata,Helodermatidae,Heloderma,Heloderma suspectum,9.77237e-4,RepTraits,NA
Ictidomys tridecemlineatus,Metazoa,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus,0.193,Harestad_ Bunnel_1979,NA
Lampropeltis triangulum,Metazoa,Lepidosauria,Squamata,Colubridae,Lampropeltis,Lampropeltis triangulum,0.165,Tamburello_etal_2015,NA
Lemmiscus curtatus,Metazoa,Mammalia,Rodentia,Cricetidae,Lemmiscus,Lemmiscus curtatus,0.02827,EltonTraits,NA
Leopardus pardalis,Metazoa,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,9.98964,Tamburello_etal_2015,NA
Lepus americanus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus americanus,1.36079,Tamburello_etal_2015,NA
Lepus californicus,Metazoa,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus californicus,2.26798,Tamburello_etal_2015,NA
Liomys pictus,Metazoa,Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys pictus,0.04,EltonTraits,NA
Lontra canadensis,Metazoa,Mammalia,Carnivora,Mustelidae,Lontra,Lontra canadensis,6.225,Prugh_etal_2008,NA
Lynx rufus,Metazoa,Mammalia,Carnivora,Felidae,Lynx,Lynx rufus,11.33992,Tamburello_etal_2015,NA
Mareca strepera strepera,Metazoa,Aves,Anseriformes,Anatidae,Mareca,Mareca strepera,0.719,Tamburello_etal,NA
Marmota caligata,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,Marmota caligata,7.23003,EltonTraits,NA
Marmota monax,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,Marmota monax,3.40197,Tamburello_etal_2015,NA
Marmota olympus,Metazoa,Mammalia,Rodentia,Sciuridae,Marmota,Marmota olympus,6.29999,EltonTraits,NA
Martes americana,Metazoa,Mammalia,Carnivora,Mustelidae,Martes,Martes americana,0.88349,Tamburello_etal_2015,NA
Martes americana caurina,Metazoa,Mammalia,Carnivora,Mustelidae,Martes,Martes americana,0.88349,Tamburello_etal_2015,NA
Masticophis flagellum,Metazoa,Lepidosauria,Squamata,Colubridae,Masticophis,Masticophis flagellum,0.001326225,RepTraits,NA
Mazama temama,Metazoa,Mammalia,Artiodactyla,Cervidae,Mazama,Mazama temama,18.80987,EltonTraits,NA
Meleagris gallopavo,Metazoa,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,6.023,Mace_Harvey_1983,NA
Meleagris gallopavo intermedia,Metazoa,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo,6.023,Mace_Harvey_1983,NA
Microtus californicus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus californicus,0.05742,EltonTraits,NA
Microtus montanus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus montanus,0.0567,Tamburello_etal_2015,NA
Microtus pennsylvanicus,Metazoa,Mammalia,Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus,0.04961,Tamburello_etal_2015,NA
Mirounga angustirostris,Metazoa,Mammalia,Carnivora,Phocidae,Mirounga,Mirounga angustirostris,750,EltonTraits,NA
Mus musculus,Metazoa,Mammalia,Rodentia,Muridae,Mus,Mus musculus,0.014,Mace_Harvey_1983,NA
Mustela frenata,Metazoa,Mammalia,Carnivora,Mustelidae,Mustela,Mustela frenata,0.165,Harestad_ Bunnel_1979,NA
Nasua narica,Metazoa,Mammalia,Carnivora,Procyonidae,Nasua,Nasua narica,5,Gittleman and Harvey (1982),NA
Nasua nasua,Metazoa,Mammalia,Carnivora,Procyonidae,Nasua,Nasua nasua,3.79385,EltonTraits,NA
Neosciurus carolinensis,Metazoa,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,0.625,Mace_Harvey_1983,NA
Neotoma floridana,Metazoa,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma floridana,0.24475,EltonTraits,NA
Neotoma lepida,Metazoa,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma lepida,0.16375,EltonTraits,NA
Neurotrichus gibbsii,Metazoa,Mammalia,Eulipotyphla,Talpidae,Neurotrichus,Neurotrichus gibbsii,0.0095,Harestad and Bunnel 1979,NA
