Id,Scientific name,Interaction Type,Family ,Genus ,Specific epithet ,Plant,Scientific name authorship,Vernacular name,English vernacular name,Pollinators ref
85,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
86,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Guimarães, R.A. 2006. ABELHAS (HYMENOPTERA: APOIDEA) VISITANTES DAS FLORES DE GOIABA (Psidium guajava L.), LARANJA (Citrus sinensis L.) E TANGERINA (Citrus reticulata B.) EM POMARES COMERCIAIS EM SALINAS – MG. Dissertação de mestrado. Universidade Estadual do Sudoeste da Bahia. Pp 85."
87,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Guimarães, R.A.; Pérez-Maluf, R.; Castellani, M.A. Abelhas (Hymenoptera: apoidea) visitantes das flores de goiaba em pomar comercial in Salinas, MG. Bragantia vol.68 no.1 pp. 23-27. Campinas  2009"
88,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Siqueira KMM, 2012. Pollination of Guava (Psidium guajava).  In: Ribeiro, MF. Terceira semana dos polinizadores. Documentos online EMBRAPA 249. ISSN 18089994, p. 138-156."
89,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Viana BF. 2008. Management plans for fruit crop pollinators in the states of Bahia and Pernambuco, Northeastern Brazil.  In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 38-40."
90,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Viana BF. 2008. Management plans for fruit crop pollinators in the states of Bahia and Pernambuco, Northeastern Brazil.  In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 38-40."
91,Apis mellifera,Pollinates,Myrtaceae,Psidium,guajava,Psidium guajava,L.,goiaba,guava,"Viana, B.F.. 2006. DIAGNÓSTICO E PLANOS DE MANEJO DOS POLINIZADORES DE FRUTEIRAS NA REGIÃO DO VALE DO SUB-MÉDIO SÃO FRANCISCO. Encontro sobre Abelhas Ribeirão Preto. CDROM."
92,Apis mellifera,Pollinates,Rutaceae,Citrus,sinensis var pera,Citrus sinensis var pera,L.,laranjeira,orange tree,"Guimarães, R.A. 2006. ABELHAS (HYMENOPTERA: APOIDEA) VISITANTES DAS FLORES DE GOIABA (Psidium guajava L.), LARANJA (Citrus sinensis L.) E TANGERINA (Citrus reticulata B.) EM POMARES COMERCIAIS EM SALINAS – MG. Dissertação de mestrado. Universidade Estadual do Sudoeste da Bahia. Pp 85."
93,Apis mellifera,Pollinates,Euphorbiaceae,Ricinus,communis,Ricinus communis,L.,mamona,castor beans,"Rizzardo RAG, Freitas BM, Milfont MO, Silva SEM. 2008. A polinização de culturas oleaginosas com potencial para produção de Biodiesel: Um estudo de caso com a mamona (Ricinus communis L.) Encontro sobre Abelhas de Ribeirão Preto, p. 72."
94,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Halak AL, Malerbo-Souza DT, Silva FAZ, Rocnolnato, Vasconcelos GR. 2008. Visitantes florais em cultura de Manga (Mangifera indica).  Anais do VIII Encontro sobre Abelhas de Ribeirão Preto, p.473."
95,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Kiill, L.H.P.; Siqueira, K.M.M. Polinização da Mangueira (Mangifera indica). In: Ribeiro, M.F. (ed). Terceira Semana dos Polinizadores. 2010. Petrolina. Embrapa Semiárido, Documentos, 249. 2012. 244 p."
96,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Kill, L.H.P. 2008. Assessment of mango (Mangifera indica L., Anarcadiaceae) and passion fruit (Passiflora edulis f. flavicarpa DEG., Passifloraceae) pollinators in the San Francisco Valley, Northeastern Brazil. In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 36-37."
97,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Kill, L.H.P. 2008. Assessment of mango (Mangifera indica L., Anarcadiaceae) and passion fruit (Passiflora edulis f. flavicarpa DEG., Passifloraceae) pollinators in the San Francisco Valley, Northeastern Brazil. In: Ministry of Environment. Pollinators management in Brazil. Ministry of Environment. Brasília, p. 36-37."
98,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Malerbo-Souza, D.C.; Halak, A.L. Comportamento de forrageamento de abelhas e outros insetos nas panículas da mangueira (Mangifera indica L.) e produção de frutos. Maringá, v. 31, n. 3, p. 335-341, 2009."
99,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Malerbo-Souza, D.C.; Halak, A.L. Comportamento de forrageamento de abelhas e outros insetos nas panículas da mangueira (Mangifera indica L.) e produção de frutos. Maringá, v. 31, n. 3, p. 335-341, 2009."
100,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica var Tommy Atkins,Mangifera indica var Tommy Atkins,L.,manga,mango,"Monteiro SP, Feitosa EA, Lemos IB, Kiill LHP, Siqueira KMM.  2006. Ecologia da polinização de Mangifera indica L. em área irrigada na região de Petrolina-PE. Documentos on line 197, Anais da I Jornada de Iniciação Científica da Embrapa Semi-Arido, ISSN 1808-9992, p. 225-229."
101,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Siqueira, K.M.M.; Kiill, L.H.P.; Martins, C.F.; Lemos, I.B.; Monteiro, S.P.; Feitoza, E.A. Estudo comparativo da polinização de Mangifera indica L. em cultivo convencional e orgânico na região do Vale do Submédio do São Francisco. Revista Brasileira de Fruticultura, Jaboticabal, v. 30, n. 2, p. 303-310, jun. 2008."
102,Apis mellifera,Pollinates,Anacardiaceae,Mangifera,indica,Mangifera indica,L.,manga,mango,"Siqueira, K.M.M.; Kiill, L.H.P.; Martins, C.F.; Lemos, I.B.; Monteiro, S.P.; Feitoza, E.A. Estudo comparativo da polinização de Mangifera indica L. em cultivo convencional e orgânico na região do Vale do Submédio do São Francisco. Revista Brasileira de Fruticultura, Jaboticabal, v. 30, n. 2, p. 303-310, jun. 2008."
103,Apis mellifera,Pollinates,Cucurbitaceae,Cucumis,melo,Cucumis melo,L.,melão,melon,"BEZERRA, M. A.; CALVET, A. S. F.; FARIAS, F. C.; ARAÚJO, L. F. de; KIILL, L. H. P.  2012. Comportamento dos visitantes florais do meloeiro em cultivo convencional com cobertura plástica do solo.  CONGRESSO BRASILEIRO DE FRUTICULTURA, 22., 2012, Bento Gonçalves. Anais... Bento Gonçalves: SBF, 2012."
104,Apis mellifera,Pollinates,Cucurbitaceae,Cucumis,melo,Cucumis melo,L.,melão,melon,"Coelho, M. S.; Fernandes, N. S.; Silva, T. A.; Ribeiro, M. F.; Costa, N. D.; Kiill, L. H. P.  2012. Avaliação da Morfologia Floral e dos Visitantes Florais de dois Híbridos de Melão (Cucumis melo L.) em Cultivo Irrigado em Petrolina, PE. III Semana Dos Polinizadores. Petrolina. Embrapa Semiárido p. 237-238."
105,Apis mellifera,Pollinates,Cucurbitaceae,Cucurbita,maxima var. exposição,Cucurbita maxima var. exposição,L.,moranga,pumpkin,"Nicodemo D. Nogueira-Couto RH. 2002. Biologia Floral e insetos visitantes em flores de Moranga (Cucurbita maxima L.). Anais do Encontro sobre Abelhas de Ribeirão Preto, SP, Brasil."
106,Apis mellifera,Pollinates,Cucurbitaceae,Cucumis,"sativus (Hokushin, Yoshinari and Soudai crop)","Cucumis sativus (Hokushin, Yoshinari and Soudai crop)",L.,pepino,cucumber,Nicodemo D. 2008. Caracteristicas florais e dependência por polinizadores de cinco cultivares de pepino e manejo de colméias em estufa. Tese de doutorado. Unesp Jaboticabal.
107,Apis mellifera,Pollinates,Rosaceae,Prunus,persica,Prunus persica,L.,pessegueiro,peach tree,"Mota, N.O.S; Nogueira-Couto. R.H. Polinização entomófila em pessegueiro (Prunus persica L.). Braz. J. Vet. Res. Anim. Sci. vol.39 no.3 São Paulo  2002"
108,Apis mellifera,Pollinates,Malvaceae,Grewia,asiatica,Grewia asiatica,L.,phalsa,phalsa,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
109,Apis mellifera,Pollinates,Solanaceae,Capsicum,frutescens,Capsicum frutescens,L.,pimenta malagueta silvestre,wild chili pepper,"Cruz DO, Oliveira Campos LA. 2007. Biologia floral e polinização de pimenta malagueta (Capsicum frutescens L., Solanaceae): um estudo de caso. Maringá, v. 29, n. 4, p. 375-379, 2007"
110,Apis mellifera,Pollinates,Solanaceae,Caspicum,annuum var. cascadura Ikeda,Caspicum annuum var. cascadura Ikeda,L.,pimentão,bell pepper,"Faria Júnior LRR, Bendini JN, Barreto LMRC. 2008. Polination efficiency of honeybbes and entomophilous pollination in sweet pepper var. 'Cascadura Ikeda'. Bragantia, Campinas 67:261-266."
111,Apis mellifera,Pollinates,Solanaceae,Capsicum,annuum,Capsicum annuum,L.,pimentão,bell pepper,"Roselino AC. 2005. Polinização em culturas de pimentão- Capsicum annuum por Melipona quadrifasciata anthidioides e Melipona scutellaris e de morango- Fragraria x ananassapor Scaptotrigona aff. depilis e Nannotrigona testaceicornis (Hymenoptera, Apidae,  Meliponini). Dissertação FFCLH Ribeirão Preto-USP."
112,Apis mellifera,Pollinates,Euphorbiaceae,Jatropha,curcas,Jatropha curcas,L.,pinhão-manso,jatropha,"Nascimento ET. 2011. Biologia floral e abelhas (Hymenoptera-Apidae) visitantes do pinhâo manso (Jatropha curcas L.). Dissertação apesentada a Universidade Estadual do Sudoeste da Bahia. Programa de Pós-Graduação em Agronomia, area de concentração Fitotecnia."
113,Apis mellifera,Pollinates,Myrtaceae,Eugenia,uniflora,Eugenia uniflora,L.,pitanga,pitanga,"Silva ALG, Pinheiro MCB. 2007. Biologia floral e da polinização de quatro espécies de Eugenia L. (Myrtaceae). Acta bot. bras. 21(1): 235-247."
114,Apis mellifera,Pollinates,Bixaceae,Bixa,orellana,Bixa orellana,L.,urucum,annatto,"Costa AJC. 2005. Abelhas (Hymenoptera:Apoidea) visitantes das flores de Urucum (Bixa orellana L.), em Vitória da Conquista-BA. Dissertação apresentada à Universidade Estadual da Bahia. Vitória da Conquista-Bahia-Brasil."
115,Apis mellifera,Pollinates,Bixaceae,Bixa,orellana,Bixa orellana,L.,urucum,annatto,Mesquita FLA. 2008. Abelhas visitantes das flores do Urucuzeiro (Bixa orellana L.) e suas eficiências de polinização. Dissertação de Mestrado em Zootecnia. Universidade Federal do Ceará.
116,Apis mellifera,Pollinates,Bixaceae,Bixa,orellana,Bixa orellana,L.,urucum,annatto,"Reis, F.L.A.M.; Reis, I.T.; Freitas, B.M.; Milfont, M.O.; Rizzardo, R.A.G. 2012. Diversidade comportamental entre diferentes espécies de abelhas Xylocopas visitantantes de uma mesma área de cultivo de urucum (Bixa orellana L.). VII CONNEPI: Congresso Norte-Nordeste de Tecnologia e Inovação, p. 1-4."
117,Apis mellifera,Pollinates,Ebenaceae,Diospyros,kaki,Diospyros kaki,L. f.,caqui,persimmon,Castro M.S. 2002. Bee fauna of some tropical and exotic fruits: Potencial pollinators and their conservation. In: Kevan P & Imperatriz-Fonseca VL (e)- Pollinating bees- The Conservation Link Between Agriculture and Nature-Mnistry of Enviroment/ Brasilia. p.275-288.
118,Apis mellifera,Pollinates,Rubiaceae,Coffea,arabica,Coffea arabica,L..,café,coffee,Ferreira FMC. 2008. A polinização como um serviço do ecossistema: Uma estratégia econômica para a Conservação. Tese apresentada a Universidade de Minas Gerais.
119,Apis mellifera,Pollinates,Rubiaceae,Coffea,arabica,Coffea arabica,L..,café,coffee,Roubik DW. 2002. Feral African bees augment neotropical coffee yield. IN: Kevan P & Imperatriz Fonseca VL (eds) - Pollinating Bees - The Conservation Link Between Agriculture and Nature - Ministry of Environment / Brasília. p.255-266.
