"","species","latitude","longitude","sociality","body_mass_g"
"159","Bathyergus suillus",-33.726209,18.543809,"solitary",780
"160","Bathyergus suillus",-34.608524,19.376001,"solitary",780
"161","Bathyergus suillus",-33.755288,18.489021,"solitary",780
"162","Bathyergus suillus",-33.956665,18.485227,"solitary",780
"163","Bathyergus suillus",-31.977568,18.787461,"solitary",780
"164","Bathyergus suillus",-34.074021,18.447445,"solitary",780
"165","Bathyergus suillus",-34.12371,18.403257,"solitary",780
"166","Bathyergus suillus",-34.0535,18.435,"solitary",780
"167","Bathyergus suillus",-34.52313,19.49063,"solitary",780
"168","Bathyergus suillus",-34.057518,18.502355,"solitary",780
"169","Bathyergus suillus",-34.057118,18.503989,"solitary",780
"170","Bathyergus suillus",-33.948275,18.46483,"solitary",780
"171","Bathyergus suillus",-33.918126,18.704912,"solitary",780
"172","Bathyergus suillus",-34.152929,18.330886,"solitary",780
"173","Bathyergus suillus",-34.832277,20.000001,"solitary",780
"174","Bathyergus suillus",-34.051146,18.454431,"solitary",780
"175","Bathyergus suillus",-34.0552,18.4306,"solitary",780
"176","Bathyergus suillus",-34.663784,19.563778,"solitary",780
"177","Bathyergus suillus",-34.056669,18.431902,"solitary",780
"178","Bathyergus suillus",-34.003997,18.486443,"solitary",780
"179","Bathyergus suillus",-34.058806,18.429214,"solitary",780
"180","Bathyergus suillus",-34.055149,18.519588,"solitary",780
"181","Bathyergus suillus",-34.040956,18.440091,"solitary",780
"182","Bathyergus suillus",-33.827394,18.479782,"solitary",780
"183","Bathyergus suillus",-34.035151,18.432498,"solitary",780
"184","Bathyergus suillus",-34.053406,18.420878,"solitary",780
"185","Bathyergus suillus",-33.760525,18.49701,"solitary",780
"186","Bathyergus suillus",-33.873325,19.050058,"solitary",780
"187","Bathyergus suillus",-33.811622,18.469681,"solitary",780
"188","Bathyergus suillus",-34.81169,19.940111,"solitary",780
"189","Bathyergus suillus",-33.731736,18.565591,"solitary",780
"190","Bathyergus suillus",-34.054497,18.435372,"solitary",780
"191","Bathyergus suillus",-34.248032,18.381797,"solitary",780
"192","Bathyergus suillus",-33.724816,18.529079,"solitary",780
"193","Bathyergus suillus",-34.035574,18.454299,"solitary",780
"194","Bathyergus suillus",-33.859757,18.551672,"solitary",780
"195","Bathyergus suillus",-34.202388,18.375521,"solitary",780
"196","Bathyergus suillus",-33.917497,18.707741,"solitary",780
"197","Bathyergus suillus",-32.842505,17.862459,"solitary",780
"198","Bathyergus suillus",-34.114599,18.36867,"solitary",780
"199","Bathyergus suillus",-33.787441,18.485517,"solitary",780
"200","Bathyergus suillus",-34.059431,18.500356,"solitary",780
"201","Bathyergus suillus",-34.082874,18.470247,"solitary",780
"202","Bathyergus suillus",-34.238025,21.369373,"solitary",780
"203","Bathyergus suillus",-34.349075,19.09065,"solitary",780
"204","Bathyergus suillus",-34.061092,22.218887,"solitary",780
"205","Bathyergus suillus",-34.059343,18.502188,"solitary",780
"206","Bathyergus suillus",-34.349054,19.091505,"solitary",780
"207","Bathyergus suillus",-34.06097,18.4961,"solitary",780
"208","Bathyergus suillus",-34.018008,22.806878,"solitary",780
"209","Bathyergus suillus",-33.988809,18.729316,"solitary",780
"210","Bathyergus suillus",-34.350954,21.876458,"solitary",780
"211","Bathyergus suillus",-33.710256,18.54525,"solitary",780
"212","Bathyergus suillus",-34.085377,18.809877,"solitary",780
"213","Bathyergus suillus",-33.191933,18.128921,"solitary",780
"214","Bathyergus suillus",-34.136592,18.340492,"solitary",780
"215","Bathyergus suillus",-34.342175,19.036826,"solitary",780
"216","Bathyergus suillus",-33.137108,18.00088,"solitary",780
"217","Bathyergus suillus",-32.736665,18.28645,"solitary",780
"218","Bathyergus suillus",-34.566763,19.446467,"solitary",780
"219","Bathyergus suillus",-34.137641,18.433725,"solitary",780
"220","Bathyergus suillus",-33.934402,18.625675,"solitary",780
"221","Bathyergus suillus",-33.598982,18.452016,"solitary",780
"222","Bathyergus suillus",-34.373638,21.42358,"solitary",780
"223","Bathyergus suillus",-34.060661,18.495544,"solitary",780
"224","Bathyergus suillus",-34.060482,18.494652,"solitary",780
"225","Bathyergus suillus",-33.933475,18.508633,"solitary",780
"226","Bathyergus suillus",-33.24374,18.20398,"solitary",780
"227","Bathyergus suillus",-34.171101,18.336187,"solitary",780
"228","Bathyergus suillus",-33.546806,18.316665,"solitary",780
